id,state,total
1,Alabama,7125
2,Alaska,4165
4,Arizona,31229
5,Arkansas,230
6,California,613804.04
8,Colorado,8015
9,Connecticut,224281.11
10,Delaware,6430
11,District of Columbia,259513.19
12,Florida,80746
13,Georgia,94860
15,Hawaii,5850
16,Idaho,175
17,Illinois,461750
18,Indiana,23742
19,Iowa,2930.26
20,Kansas,4035
21,Kentucky,18450
22,Louisiana,25425
23,Maine,28568
24,Maryland,127999.98
25,Massachusetts,180459.75
26,Michigan,28815
27,Minnesota,18887.26
28,Mississippi,0
29,Missouri,20484
30,Montana,1100
31,Nebraska,3015
32,Nevada,2370
33,New Hampshire,6556
34,New Jersey,1002361.46
35,New Mexico,5025
36,New York,6284909.94
37,North Carolina,29925
38,North Dakota,0
39,Ohio,133730
40,Oklahoma,2190
41,Oregon,5060
42,Pennsylvania,519846
43,South Dakota,0
44,Rhode Island,24120
45,South Carolina,1700
46,South Dakota,50
47,Tennessee,24150
48,Texas,59798.76
49,Utah,70
50,Vermont,950
51,Virginia,50596.41
53,Washington,67300
54,West Virginia,6100
55,Wisconsin,16555
56,Wyoming,100
60,America Samoa,0
64,Federated States of Micronesia,0
66,Guam,0
68,Marshall Islands,0
69,Northern Mariana Islands,0
70,Palau,0
72,Puerto Rico,0
74,U.S. Minor Outlying Islands,0
78,Virgin Islands of the United States,0
